Author,nation,Year,jf,jt,esT,esR,ll,ul,esR2,lnesR,se,se2,weight
Partanen,Finland,1994,ceramic,1,OR,4.91,0.48,49.8,4.91 [0.48-49.8],1.591273942,1.184179632,1.402281402,0.713123627
Coggon D,UK,1990,ceramic,1,RR,1.5,0.8,3,1.50 [0.80-3.00],0.405465108,0.337182612,0.113692114,8.795684809
N Aragones,sweden,2002,ceramic,1,RR,1.26,0.91,1.74,1.26 [0.91-1.74],0.231111721,0.16535607,0.02734263,36.57292694
Miguel Santibanez,spain,2011,ceramic,1,OR,0.57,0.08,3.77,0.57 [0.08-3.77],-0.562118918,0.982858073,0.966009991,1.03518598
Miguel Santibanez,spain,2011,construction,2,OR,1.2,0.65,2.22,1.20 [0.65-2.22],0.182321557,0.313339314,0.098181526,10.18521551
Sj?dahl ,sweden,2007,construction,2,RR,1.3,1,1.7,1.30 [1.00-1.70],0.262364264,0.13536435,0.018323507,54.57470504
Jansson,sweden,2005,construction,2,RR,1.1,0.5,2.1,1.10 [0.50-2.10],0.09531018,0.366092991,0.134024078,7.461345854
Aragones,sweden,2002,construction,2,RR,1.32,1.21,1.45,1.32 [1.21-1.45],0.277631737,0.046158979,0.002130651,469.3400509
Krstev,Poland,2005,construction,2,OR,0.8,0.43,1.16,0.80 [0.43-1.16],-0.227774148,0.186789407,0.034890283,28.66127551
Finkelstein,EU,2005,construction,2,OR,1.85,1.02,3.33,1.85 [1.02-3.33],0.615185639,0.301828999,0.091100745,10.97685867
Toshihide,Jap,2001,construction,2,OR,1.4,0.76,2.59,1.40 [0.76-2.59],0.336472237,0.312779266,0.097830869,10.22172255
Partanen,Finland,1996,construction,2,OR,0.52,0.25,0.94,0.52 [0.25-0.94],-0.653926467,0.337861979,0.114150717,8.760347968
Parent,Canada,1998,construction,2,OR,1.7,1.1,2.7,1.70 [1.10-2.70],0.530628251,0.229066733,0.052471568,19.05794005
Patricia B,US,1995,construction,2,OR,0.8,0.5,1.3,0.80 [0.50-1.30],-0.223143551,0.24375292,0.059415486,16.83062902
YS Ahn,Korea,2010,foundry,3,RR,1.89,1.07,3.33,1.89 [1.07-3.33],0.636576829,0.28962083,0.083880225,11.92176099
Sorahan T,UK,1994,foundry,3,RR,1.27,0.97,1.57,1.27 [0.97-1.57],0.240281567,0.153051518,0.023424767,42.68985889
Coggon D,UK,1990,foundry,3,RR,0.8,0.2,2.8,0.80 [0.20-2.80],-0.223143551,0.673228911,0.453237166,2.206350394
Xu,China,1996,foundry,3,OR,1.8,1.1,2.8,1.80 [1.10-2.80],0.587786665,0.238344193,0.056807954,17.6031686
Miguel Santibanez,spain,2011,mining,4,OR,3.41,0.69,16.78,3.41 [0.69-16.78],1.226712291,0.81409474,0.662750246,1.508864018
Jianguang,sweden,2006,mining,4,RR,1.28,1.1,1.4,1.28 [1.10-1.40],0.246860078,0.061520933,0.003784825,264.212996
Coggon D,UK,1990,mining,4,RR,1.7,0.8,3.6,1.70 [0.80-3.60],0.530628251,0.383693213,0.147220482,6.792533118
N Aragones,sweden,2002,mining,4,RR,1.55,1.25,1.93,1.55 [1.25-1.93],0.438254931,0.110810319,0.012278927,81.44034176
Ames RG,US,1983,mining,4,OR,1.55,0.85,2.83,1.55 [0.85-2.83],0.438254931,0.306835623,0.094148099,10.62156333
Ames RG (2),US,1983,mining,4,OR,1.55,0.76,3.17,1.55 [0.76-3.17],0.438254931,0.364328682,0.132735389,7.53378591
Krstev S ,Poland,2005,mining,4,OR,1.1,0.4,3.1,1.10 [0.40-3.1],0.09531018,0.522370623,0.272871068,3.664734437
Miguel Santibanez,spain,2011,mining,4,OR,2.62,0.78,8.83,2.62 [0.78-8.83],0.963174318,0.619034789,0.38320407,2.609575622
Neuberger,Australia,1998,others,5,OR,1.78,1.1,2.86,1.78 [1.10-2.86],0.575489137,0.243094408,0.059094891,16.9219366
Gonzalez CA,spain,1991,others,5,OR,1.8,0.9,3.59,1.80 [0.90-3.59],0.587786665,0.352936918,0.124564468,8.027971507
Krstev S,Poland,2005,others,5,OR,1.61,0.77,2.46,1.61 [0.77-2.46],0.47786635,0.431558919,0.1862431,5.369326422
G M Calvert,USA,2003,others,5,OR,1.04,0.99,1.09,1.04 [0.99-1.09],0.039220713,0.024547967,0.000602603,1659.468165
Claude J,German,1984,others,5,RR,1.06,0.44,2.54,1.06 [0.44-2.54],0.058268908,0.447230774,0.200015365,4.999615905
Romundstad,Norwegian,2001,others,5,RR,1.5,1.1,2,1.50 [1.10-2.00],0.405465108,0.152509439,0.023259129,42.9938714
